term,estimate,std.error,statistic,p.value,conf_low,conf_high
neighbourhood_cleansedOud-Noord,-0.15224571212342702,0.10308536552741993,-1.4768896762841746,0.13979487231102108,-0.3543589711622893,0.04986754691543527
neighbourhood_cleansedOud-Oost,-0.20496650238130681,0.10239561617436935,-2.0017116946908122,0.04539253256027402,-0.40572741146291047,-0.004205593299703186
neighbourhood_cleansedSlotervaart,-0.17842455378769387,0.10769854830939886,-1.6567034244056078,0.09766877606181408,-0.3895826020828907,0.03273349450750296
neighbourhood_cleansedWatergraafsmeer,-0.18834066599087415,0.10537348260112919,-1.7873630190605077,0.0739650394788395,-0.39494009817821146,0.01825876619646316
neighbourhood_cleansedWesterpark,-0.18978433625197805,0.10137541611263547,-1.8720942762011832,0.06127660504499868,-0.38854500060152186,0.008976328097565767
neighbourhood_cleansedZuid,-0.21126337663726716,0.10090732576608907,-2.0936376525029696,0.03636380942782991,-0.4091062844751948,-0.01342046879933953
review_scores_rating,0.027296619091532366,0.011276203532317087,2.4207277753812706,0.015539865274411797,0.005188046901467989,0.04940519128159675
I(bedrooms^2),0.006602516337627439,0.0010772319318574398,6.129150225098611,9.813181503967037e-10,0.00449045265744847,0.008714580017806409
room_typeHotel room,-0.03995164003816542,0.39150383627705393,-0.1020466119006124,0.9187255028995447,-0.807549599955425,0.7276463198790941
room_typePrivate room,NA,NA,NA,NA,NA,NA
room_typeShared room,NA,NA,NA,NA,NA,NA
distance_to_center,-0.010777189481492247,0.002194236967348073,-4.911588694322938,9.446247826910739e-7,-0.01507929756739999,-0.006475081395584502
reviews_per_month,-0.008686540629914544,0.0037348881253269853,-2.325783353726036,0.02008677265127356,-0.01600931052351883,-0.0013637707363102578
I(bathrooms^2),0.006134544693699102,0.002078937712990884,2.9508073548166,0.003190403261183523,0.0020584969020305405,0.010210592485367664
availability_365,3.4161082587875666e-5,1.9775516833102048e-5,1.727443225690757,0.08417601046034938,-4.611580591486997e-6,7.293374576723833e-5
host_acceptance_rate_num,0.019807080627543536,0.007177230948453104,2.7597106418614716,0.005815264991210425,0.0057351167707476915,0.03387904448433938
number_of_reviews,-1.7089691902759198e-4,7.594621598680884e-5,-2.2502361283842665,0.024495604920282608,-3.1980008434333567e-4,-2.199375371184827e-5
beds,-0.007155040902814889,0.0031444921045823944,-2.2754202156806236,0.022940724124210585,-0.013320256925743661,-9.898248798861165e-4
calculated_host_listings_count,0.0012795285421984405,6.059858575759552e-4,2.1114825143226423,0.03480132058846552,9.140861868167345e-5,0.0024676484657152075
amenities_count,2.8801336212181105e-4,1.338718794958579e-4,2.1514104620509373,0.03151181117046355,2.5538841901298756e-5,5.504878823423233e-4
has_recent_reviewsTRUE,-0.01937858293858613,0.006292680620724276,-3.0795433785030855,0.0020892108821325027,-0.03171626231565519,-0.0070409035615170736
days_since_last_review,-1.6432059725970004e-5,6.959411991797714e-6,-2.3611275989029887,0.018273781679663145,-3.0076959091265786e-5,-2.78716036067422e-6
minimum_nights,-0.003105997194976849,0.0017705936276909543,-1.7542123423472418,0.07948133807417064,-0.006577493335046048,3.6549894509235e-4
reviews_last_30_days,0.008656876144697893,0.0035346884117695215,2.449120017445646,0.014369111962557054,0.001726625755280483,0.015587126534115304
reviews_last_90_days,-0.0024555508478606293,0.0012290199071508122,-1.9979748363500758,0.04579637380927272,-0.004865216056757984,-4.588563896327407e-5
availability_90,4.6454917458672737e-4,2.2808025562846897e-4,2.0367794367235983,0.041746999357454,1.73659730562934e-5,9.117323761171613e-4
availability_60,-5.449607254118794e-4,3.4889739949074477e-4,-1.5619512389811767,0.11838957538703268,-0.0012290228143463304,1.3910136352257162e-4
review_scores_cleanliness,0.013273137851823694,0.008723012982500684,1.521623076619404,0.12819357797832834,-0.0038295476119297924,0.03037582331557718
accommodates:neighbourhood_cleansedBijlmer-Oost,0.08304597365828116,0.03823492287052681,2.17199270780527,0.02992291051845241,0.008081066361074432,0.15801088095548788
accommodates:neighbourhood_cleansedBos en Lommer,0.08619809131893814,0.032567387187828124,2.6467610318814336,0.008162954131806333,0.02234517942174369,0.1500510032161326
accommodates:neighbourhood_cleansedBuitenveldert - Zuidas,0.08626290564233124,0.03575300623709089,2.4127455204827046,0.01588378671876613,0.016164142602168113,0.15636166868249438
accommodates:neighbourhood_cleansedCentrum-Oost,0.1018984119240163,0.032312762275676775,3.153503592625991,0.0016268442468564542,0.038544727735469825,0.16525209611256278
accommodates:neighbourhood_cleansedCentrum-West,0.1113464984507132,0.0320841352554446,3.4704534675534995,5.258383532623572e-4,0.04844106947207989,0.17425192742934653
accommodates:neighbourhood_cleansedDe Aker - Nieuw Sloten,0.0784722466193263,0.039701399063451416,1.976561241429066,0.048169362164264984,6.321078948607894e-4,0.1563123853437918
accommodates:neighbourhood_cleansedDe Baarsjes - Oud-West,0.09795796658159478,0.03189728612435199,3.071043918899694,0.0021494436229278725,0.03541888142529251,0.16049705173789705
accommodates:neighbourhood_cleansedDe Pijp - Rivierenbuurt,0.09747941240367085,0.03214739421802089,3.0322648156977756,0.0024449924451947764,0.03444995539230665,0.16050886941503506
accommodates:neighbourhood_cleansedGaasperdam - Driemond,0.10987842889351683,0.05055376949494011,2.1734962593543985,0.0298095892163828,0.010760701978109397,0.20899615580892428
accommodates:neighbourhood_cleansedGeuzenveld - Slotermeer,0.06429114310985218,0.03375492870446981,1.9046446127240308,0.056907903245826924,-0.0018901098175592296,0.13047239603726357
accommodates:neighbourhood_cleansedIJburg - Zeeburgereiland,0.06185397445588372,0.03394656905370506,1.822097966896974,0.0685251307836125,-0.004703016146309268,0.1284109650580767
accommodates:neighbourhood_cleansedNoord-Oost,0.06296616173203222,0.03369971011078029,1.868448171365421,0.06178282383901932,-0.003106827429004283,0.12903915089306872
accommodates:neighbourhood_cleansedNoord-West,0.06376151608031998,0.03289141555149655,1.9385458184519775,0.05263669295231628,-7.266986871411057e-4,0.12824973084778107
accommodates:neighbourhood_cleansedOostelijk Havengebied - Indische Buurt,0.058020277739930654,0.03278217761813754,1.7698725940594477,0.07683511900289786,-0.006253760799809854,0.12229431627967116
